Tarih,Omerli,Darlik,Elmali,Terkos,Buyukcekmece,Sazlidere,Alibey,Kazandere,Pabucdere,Istrancalar,Istanbul_Daily_Consumption
2011-02-24,1.04,1.32,1.22,6.31,1.92,3.49,11.04,1.75,1.11,11.0,2079959.0
2011-02-25,5.55,1.32,6.5,3.23,5.52,5.17,4.19,3.85,3.85,7.08,2060925.0
2011-02-26,3.0,2.8,2.47,0.52,0.14,1.92,1.74,0.02,0.08,0.02,2096197.0
2011-02-27,0.0,0.0,0.0,0.72,0.14,0.0,0.18,0.0,0.0,0.0,2191771.0
2011-02-28,0.0,0.04,8.5,2.93,0.14,0.0,0.72,0.04,0.41,15.81,2096516.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040070.0
2011-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038798.0
2011-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.11,0.0,2128426.0
2011-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081656.0
2011-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196619.0
2011-03-06,3.28,2.48,1.97,0.51,0.15,0.4,4.2,4.88,7.65,8.05,2184596.0
2011-03-07,1.58,2.47,1.21,1.63,2.21,4.68,1.13,2.04,4.73,2.69,2055533.0
2011-03-08,2.0,2.74,1.0,2.3,2.5,3.31,3.8,23.42,13.92,1.78,2029927.0
2011-03-09,8.35,10.96,1.0,2.5,2.0,4.64,3.84,3.4,3.5,3.3,2057884.0
2011-03-10,4.05,3.65,2.14,2.43,0.6,1.66,10.05,1.02,1.04,16.8,2067672.0
2011-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123115.0
2011-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195135.0
2011-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246475.0
2011-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160952.0
2011-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143116.0
2011-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158619.0
2011-03-17,0.0,0.51,0.8,0.54,0.73,0.5,0.59,0.5,0.51,0.37,2116552.0
2011-03-18,11.08,8.73,6.99,5.82,2.71,12.31,4.35,10.93,12.46,12.2,2104688.0
2011-03-19,0.0,0.08,1.76,1.04,1.7,1.97,0.19,3.25,3.01,7.2,2112362.0
2011-03-20,1.0,2.87,1.71,4.92,0.0,1.97,4.5,5.57,6.64,10.64,2166401.0
2011-03-21,0.0,2.85,0.3,1.65,0.14,0.0,0.6,0.0,0.0,0.0,2086434.0
2011-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034646.0
2011-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088190.0
2011-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146944.0
2011-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140271.0
2011-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224421.0
2011-03-27,0.53,1.01,4.1,4.2,1.14,2.4,3.77,0.8,0.8,1.26,2167694.0
2011-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211964.0
2011-03-29,7.05,7.04,4.19,5.03,3.21,2.25,2.54,4.7,3.6,3.75,2151596.0
2011-03-30,6.05,7.43,0.0,5.64,0.0,0.63,0.0,1.28,0.7,0.0,2124344.0
2011-03-31,0.0,0.0,0.0,0.2,1.02,0.4,0.2,0.0,0.0,0.0,2110228.0
2011-04-01,1.88,5.81,1.64,7.62,7.72,9.96,6.71,0.54,0.97,2.21,2068013.0
2011-04-02,15.53,15.56,16.31,27.24,15.81,23.14,22.39,61.1,67.33,65.4,2078197.0
2011-04-03,0.8,1.8,2.08,1.13,0.13,0.1,3.0,4.6,4.38,5.36,2158901.0
2011-04-04,3.18,1.2,0.84,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2116528.0
2011-04-05,0.0,1.19,0.73,0.41,0.13,0.0,0.99,0.46,0.08,0.04,2058333.0
2011-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062872.0
2011-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125754.0
2011-04-08,1.13,1.5,0.45,0.43,0.0,0.0,1.2,0.0,0.0,0.0,2150535.0
2011-04-09,0.43,0.3,2.11,6.02,1.01,1.87,0.81,0.0,0.0,0.16,2163812.0
2011-04-10,0.0,0.4,0.0,0.44,2.61,0.2,0.0,0.0,0.0,0.5,2184784.0
2011-04-11,0.0,0.0,0.0,5.42,0.0,0.57,2.78,3.7,4.55,3.28,2119845.0
2011-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2070841.0
2011-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104957.0
2011-04-14,5.75,3.5,10.32,11.23,12.58,17.87,11.96,14.43,17.66,11.88,2080664.0
2011-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105605.0
2011-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171649.0
2011-04-17,16.35,15.97,9.05,8.62,9.41,8.06,9.08,2.27,2.93,2.69,2177747.0
2011-04-18,6.55,12.97,8.95,14.43,15.71,17.96,17.44,13.8,16.37,14.06,2060795.0
2011-04-19,0.0,0.49,0.7,3.33,0.91,0.35,0.18,6.2,6.02,7.21,2024011.0
2011-04-20,5.85,6.48,4.75,2.5,1.9,2.01,2.56,1.08,1.12,1.76,2040601.0
2011-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2112231.0
2011-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129693.0
2011-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116666.0
2011-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173329.0
2011-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109095.0
2011-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083386.0
2011-04-27,5.78,6.98,9.71,10.93,8.93,8.8,8.67,9.02,10.94,9.82,2044587.0
2011-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.52,0.83,2047509.0
2011-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100377.0
2011-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137642.0
2011-05-01,0.0,0.0,2.61,0.35,1.4,0.92,0.88,0.77,0.91,0.85,2242919.0
2011-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,5.65,3.43,2170635.0
2011-05-03,1.58,3.58,7.45,5.51,3.11,4.87,2.88,28.0,30.25,33.27,2121888.0
2011-05-04,8.25,10.36,12.62,11.74,8.43,15.6,19.25,3.0,1.91,6.9,2092898.0
2011-05-05,0.0,0.44,0.0,0.53,0.56,0.0,0.0,3.08,3.91,2.41,2075939.0
2011-05-06,1.33,0.8,0.5,0.35,1.21,0.5,0.42,0.0,0.0,0.31,2110222.0
2011-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167630.0
2011-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201572.0
2011-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123025.0
2011-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.6,0.54,2113492.0
2011-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130331.0
2011-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122240.0
2011-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151837.0
2011-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264118.0
2011-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314782.0
2011-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2324788.0
2011-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232384.0
2011-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2227175.0
2011-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193697.0
2011-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197655.0
2011-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2309449.0
2011-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2353148.0
2011-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380393.0
2011-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2372443.0
2011-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307197.0
2011-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379588.0
2011-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315586.0
2011-05-28,2.78,1.69,0.67,0.0,0.13,0.0,0.22,0.08,0.0,0.7,2258319.0
2011-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308654.0
2011-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2424462.0
2011-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294251.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2388103.0
2011-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384878.0
2011-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393123.0
2011-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456856.0
2011-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494241.0
2011-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486881.0
2011-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468203.0
2011-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500539.0
2011-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542856.0
2011-06-10,5.2,4.1,0.5,1.67,8.63,0.7,0.57,20.08,33.63,12.18,2445355.0
2011-06-11,2.2,1.5,9.5,2.97,3.7,0.0,5.75,0.0,0.0,0.0,2393320.0
2011-06-12,2.58,1.0,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325362.0
2011-06-13,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,2406425.0
2011-06-14,0.0,0.0,0.0,0.0,14.4,0.48,2.19,0.0,0.0,0.0,2338992.0
2011-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378261.0
2011-06-16,5.48,6.85,1.76,0.0,0.0,0.0,1.3,0.0,0.0,0.0,2305515.0
2011-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2347226.0
2011-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2397499.0
2011-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442269.0
2011-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475452.0
2011-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474340.0
2011-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2303429.0
2011-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546128.0
2011-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466075.0
2011-06-25,2.0,0.3,2.2,1.68,5.23,3.51,2.59,0.0,0.0,0.0,2419278.0
2011-06-26,0.0,0.0,1.14,0.65,0.0,0.0,5.22,0.0,0.0,0.0,2270976.0
2011-06-27,0.8,0.7,1.59,1.68,0.16,0.4,1.6,0.0,0.7,0.0,2297880.0
2011-06-28,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.9,0.9,4.5,2346731.0
2011-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196222.0
2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433630.0
2011-07-01,1.85,2.69,11.58,18.72,8.45,4.64,3.1,22.5,23.6,33.45,2368941.0
2011-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2318919.0
2011-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370482.0
2011-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2347206.0
2011-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383234.0
2011-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414344.0
2011-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2407509.0
2011-07-08,0.0,0.57,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,2458118.0
2011-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409230.0
2011-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443296.0
2011-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464038.0
2011-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469376.0
2011-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,2479066.0
2011-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2476934.0
2011-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483927.0
2011-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466152.0
2011-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452265.0
2011-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2489753.0
2011-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2519290.0
2011-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567268.0
2011-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533911.0
2011-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495704.0
2011-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477233.0
2011-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2467983.0
2011-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590627.0
2011-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83,0.0,0.0,2576774.0
2011-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574651.0
2011-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2606902.0
2011-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608362.0
2011-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602049.0
2011-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2595692.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2526218.0
2011-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542266.0
2011-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2493167.0
2011-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2548374.0
2011-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498934.0
2011-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469360.0
2011-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502170.0
2011-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531294.0
2011-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2523543.0
2011-08-10,0.0,0.0,0.0,0.0,0.0,0.6,9.1,6.0,10.8,3.0,2529320.0
2011-08-11,15.02,12.84,20.85,26.58,17.7,37.4,24.45,4.0,4.91,14.18,2243049.0
2011-08-12,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245394.0
2011-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369776.0
2011-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418196.0
2011-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2470297.0
2011-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459392.0
2011-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532130.0
2011-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516861.0
2011-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483818.0
2011-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483572.0
2011-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496841.0
2011-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469864.0
2011-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2482517.0
2011-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500330.0
2011-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538543.0
2011-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501152.0
2011-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459807.0
2011-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448559.0
2011-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534467.0
2011-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081937.0
2011-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055561.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108266.0
2011-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317802.0
2011-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332410.0
2011-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403551.0
2011-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420398.0
2011-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2424279.0
2011-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441249.0
2011-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425015.0
2011-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449285.0
2011-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454549.0
2011-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458875.0
2011-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452472.0
2011-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415174.0
2011-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502564.0
2011-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2485714.0
2011-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525687.0
2011-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488535.0
2011-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545576.0
